Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1881-01-01,6.19,0.27,0.49,9.42,3.7,164.18,7.03,12.89,18.47
1881-02-01,6.17,0.27,0.48,9.51,3.69,162.01,7.09,12.65,18.15
1881-03-01,6.24,0.28,0.48,9.51,3.69,163.85,7.22,12.54,18.27
1881-04-01,6.22,0.28,0.47,9.61,3.68,161.71,7.28,12.31,17.95
1881-05-01,6.5,0.28,0.47,9.51,3.67,170.68,7.48,12.32,18.87
1881-06-01,6.58,0.29,0.47,9.51,3.67,172.78,7.61,12.21,19.03
1881-07-01,6.35,0.29,0.46,9.61,3.66,165.09,7.67,11.98,18.12
1881-08-01,6.2,0.3,0.46,9.8,3.65,158.06,7.65,11.64,17.29
1881-09-01,6.25,0.3,0.45,10.18,3.65,153.38,7.48,11.1,16.72
1881-10-01,6.15,0.31,0.45,10.28,3.64,149.53,7.54,10.9,16.26
1881-11-01,6.19,0.32,0.44,10.18,3.63,151.91,7.73,10.9,16.48
1881-12-01,6.01,0.32,0.44,10.18,3.63,147.49,7.85,10.8,15.96
1882-01-01,5.92,0.32,0.44,10.18,3.62,145.28,7.85,10.78,15.68
1882-02-01,5.79,0.32,0.44,10.28,3.62,140.77,7.78,10.66,15.15
1882-03-01,5.78,0.32,0.44,10.28,3.62,140.53,7.78,10.64,15.09
1882-04-01,5.78,0.32,0.44,10.37,3.62,139.24,7.71,10.52,14.92
1882-05-01,5.71,0.32,0.44,10.47,3.62,136.3,7.64,10.4,14.57
1882-06-01,5.68,0.32,0.43,10.56,3.62,134.37,7.57,10.29,14.33
1882-07-01,6,0.32,0.43,10.47,3.63,143.23,7.64,10.36,15.24
1882-08-01,6.18,0.32,0.43,10.56,3.63,146.19,7.57,10.25,15.53
1882-09-01,6.24,0.32,0.43,10.28,3.63,151.71,7.78,10.52,16.08
1882-10-01,6.07,0.32,0.43,10.18,3.63,148.96,7.85,10.59,15.76
1882-11-01,5.81,0.32,0.43,10.09,3.63,143.93,7.93,10.67,15.19
1882-12-01,5.84,0.32,0.43,9.99,3.63,146.05,8,10.75,15.38
1883-01-01,5.81,0.32,0.43,9.99,3.63,145.29,8.02,10.69,15.27
1883-02-01,5.68,0.32,0.42,10.09,3.63,140.7,7.97,10.53,14.76
1883-03-01,5.75,0.32,0.42,9.99,3.63,143.79,8.06,10.57,15.05
1883-04-01,5.87,0.32,0.42,9.9,3.63,148.21,8.16,10.6,15.48
1883-05-01,5.77,0.32,0.42,9.8,3.63,147.1,8.26,10.64,15.34
1883-06-01,5.82,0.33,0.41,9.51,3.63,152.82,8.53,10.9,15.9
1883-07-01,5.73,0.33,0.41,9.32,3.63,153.53,8.73,11.05,15.95
1883-08-01,5.47,0.33,0.41,9.32,3.62,146.56,8.75,10.99,15.2
1883-09-01,5.53,0.33,0.41,9.23,3.62,149.7,8.87,11.03,15.49
1883-10-01,5.38,0.33,0.41,9.23,3.62,145.64,8.89,10.96,15.05
1883-11-01,5.46,0.33,0.4,9.13,3.62,149.34,9,11.01,15.41
1883-12-01,5.34,0.33,0.4,9.23,3.62,144.56,8.93,10.83,14.9
